gene,score,logfoldchange,pval,pval_adj,subtype
ADCY1,13.555129,,7.388197580896522e-42,1.8592511154713685e-39,PV_FSI
AC010127.3,13.527681,,1.0735692480501672e-41,2.6613300956515266e-39,PV_FSI
SULF1,13.523344,,1.1387974489070559e-41,2.781512768955484e-39,PV_FSI
MYO16,13.518047,,1.223814398322761e-41,2.945845411846774e-39,PV_FSI
ACSL6,13.42418,,4.3638926124156173e-41,1.0208435549240985e-38,PV_FSI
LRRC4C,13.1465435,,1.7813359051031014e-39,3.7450896263110646e-37,PV_FSI
KHDRBS2,13.099304,,3.3229147080691375e-39,6.73052321784394e-37,PV_FSI
ANK1,13.094782,,3.5268734006349086e-39,7.0575711218247224e-37,PV_FSI
MEF2C,12.666895,,9.021541585592159e-37,1.722284875805749e-34,PV_FSI
NEFM,12.628894,,1.4632146327344137e-36,2.7616513448961225e-34,PV_FSI
LRRTM4,12.419295,,2.0536274128079417e-35,3.590389231508116e-33,PV_FSI
GNAL,12.320598,,7.0172367296812e-35,1.1654928484327507e-32,PV_FSI
CADPS,12.066927,,1.5792155409173804e-33,2.38447190173607e-31,PV_FSI
FGF12,12.061933,,1.677996241888613e-33,2.510796358696214e-31,PV_FSI
NEFL,12.023706,,2.6673298121163454e-33,3.955507218700034e-31,PV_FSI
KCNC1,11.953618,,6.215893962562968e-33,8.977372419496377e-31,PV_FSI
SDK1,11.864445,,1.8110043673985116e-32,2.5490653845866e-30,PV_FSI
ADAMTS17,11.863719,,1.8267774146999733e-32,2.5496593345169626e-30,PV_FSI
MAP1A,11.707316,,1.1692217227097663e-31,1.6049259167344222e-29,PV_FSI
CDH18,11.429981,,2.961733073032774e-30,3.843080047656355e-28,PV_FSI
HCN1,11.308899,,1.185682262302727e-29,1.5032821904264118e-27,PV_FSI
LUZP1,11.291993,,1.437395860437775e-29,1.8086142307584096e-27,PV_FSI
PLCXD3,11.255683,,2.1713681372795396e-29,2.7115979994042007e-27,PV_FSI
SRRM4,11.2520895,,2.2617048723648477e-29,2.8033325541125193e-27,PV_FSI
DTNA,11.171118,,5.646586353801304e-29,6.895893584579843e-27,PV_FSI
TENM2,11.108579,,1.1395947346984974e-28,1.342377939617542e-26,PV_FSI
EPHA6,11.073668,,1.6836664028108825e-28,1.9692968510060528e-26,PV_FSI
KCNC2,11.067091,,1.8118785076300306e-28,2.104439869456446e-26,PV_FSI
SACS,10.976452,,4.96024150387884e-28,5.721156329022476e-26,PV_FSI
SOX6,10.95453,,6.320610269072128e-28,7.190343558836916e-26,PV_FSI
PLXNA4,10.931742,,8.1272943970238e-28,9.179917811533651e-26,PV_FSI
SNTG1,10.767276,,4.913219827789809e-27,5.440244541317396e-25,PV_FSI
KCNAB3,10.633485,,2.081846593557178e-26,2.2452850696357903e-24,PV_FSI
PRKG1,10.555164,,4.807998552323359e-26,5.118977433047351e-24,PV_FSI
SCN1A,10.407251,,2.2975904688024705e-25,2.3555975368111253e-23,PV_FSI
MAP9,10.315797,,5.978312821081991e-25,5.981554075021131e-23,PV_FSI
FLRT3,10.166884,,2.786810922045454e-24,2.660123138175456e-22,PV_FSI
TENM1,10.075957,,7.057006028871838e-24,6.622023340877533e-22,PV_FSI
PPARGC1A,10.0221615,,1.2180970714720986e-23,1.117755483982325e-21,PV_FSI
PLCL1,9.86192,,6.087367731917355e-23,5.37793035422422e-21,PV_FSI
PTPRD,9.805197,,1.0693839754334492e-22,9.299161491085946e-21,PV_FSI
ZMAT4,9.697387,,3.0932030005163046e-22,2.675781699769547e-20,PV_FSI
KIAA1217,9.636081,,5.629630379936896e-22,4.844690724371602e-20,PV_FSI
ZNF385D,9.535135,,1.4969000081728084e-21,1.2684700120276619e-19,PV_FSI
ST8SIA1,9.5208845,,1.7171096544548852e-21,1.4403774874162217e-19,PV_FSI
SCN8A,9.491624,,2.274619879545439e-21,1.8889580789685098e-19,PV_FSI
KCND2,9.438153,,3.794062134870493e-21,3.13510338298826e-19,PV_FSI
MIAT,9.377358,,6.764628720993634e-21,5.507535217008984e-19,PV_FSI
CNTN5,9.32552,,1.1044105998800427e-20,8.861427851887742e-19,PV_FSI
BAI3,9.222109,,2.913146159529237e-20,2.2931016380863083e-18,PV_FSI
HS6ST3,9.073298,,1.154670853726414e-19,8.878670467380562e-18,PV_FSI
FBLN7,9.03938,,1.5756326734329867e-19,1.2059761784814966e-17,PV_FSI
KLF12,9.002368,,2.2090037031678493e-19,1.6676973866324915e-17,PV_FSI
FAR2,8.969972,,2.9659200126869136e-19,2.209011905413316e-17,PV_FSI
DLGAP1,8.954203,,3.4219955941695437e-19,2.5037852345181475e-17,PV_FSI
TMEM108,8.892752,,5.9613727095063905e-19,4.231300826162036e-17,PV_FSI
CSMD1,8.861694,,7.880723062873019e-19,5.52282402325983e-17,PV_FSI
IL1RAPL1,8.847398,,8.958375031992538e-19,6.251666004469078e-17,PV_FSI
ERC2,8.845071,,9.147052902695065e-19,6.356627684554909e-17,PV_FSI
ASIC2,8.77341,,1.7333607799915324e-18,1.1798929997901378e-16,PV_FSI
ADAM23,8.7699585,,1.787320738317029e-18,1.2116575568452055e-16,PV_FSI
